Parcours,DÇpart,ArrivÇe,Nombre de voyages,Poids de voyages,Nombre d'abonnements
FRONTIGNAN - NIMES,FRONTIGNAN,NIMES,72,"0,000843723633636449",0
LEXOS - TOULOUSE MATABIAU,LEXOS,TOULOUSE MATABIAU,72,"0,000843723633636449",0
BOURG MADAME - VILLEFRANCHE VERNET LES BAINS,BOURG MADAME,VILLEFRANCHE VERNET LES BAINS,70,"0,000820286866035436",0
NIMES - SAINT-GENI‘S-DE-MALGOIR‘S,NIMES,SAINT-GENI‘S-DE-MALGOIR‘S,69,"0,00080856848223493",0
ALBI - SAINT-SULPICE,ALBI,SAINT-SULPICE,68,"0,000796850098434424",0
LêZIGNAN (AUDE) - NARBONNE,LêZIGNAN (AUDE),NARBONNE,68,"0,000796850098434424",0
MONTPELLIER SAINT-ROCH - PORT BOU FRONTIERE,MONTPELLIER SAINT-ROCH,PORT BOU FRONTIERE,67,"0,000785131714633918",0
BRIVE LA GAILLARDE - FIGEAC,BRIVE LA GAILLARDE,FIGEAC,66,"0,000773413330833412",0
BEZIERS - LUNEL,BEZIERS,LUNEL,65,"0,000761694947032905",0
FRONTIGNAN - NARBONNE,FRONTIGNAN,NARBONNE,65,"0,000761694947032905",0
NAUCELLE - TOULOUSE MATABIAU,NAUCELLE,TOULOUSE MATABIAU,65,"0,000761694947032905",0
AVIGNON CENTRE - BAILLARGUES,AVIGNON CENTRE,BAILLARGUES,63,"0,000738258179431893",0
AVIGNON CENTRE - PONT SAINT ESPRIT,AVIGNON CENTRE,PONT SAINT ESPRIT,63,"0,000738258179431893",0
L'ISLE JOURDAIN - SAINT-CYPRIEN AR‘NES,L'ISLE JOURDAIN,SAINT-CYPRIEN AR‘NES,63,"0,000738258179431893",0
MENDE - NIMES,MENDE,NIMES,63,"0,000738258179431893",0
LAVILLEDIEU - TOULOUSE MATABIAU,LAVILLEDIEU,TOULOUSE MATABIAU,61,"0,00071482141183088",0
BRAX - LêGUEVIN - SAINT-CYPRIEN AR‘NES,BRAX,LêGUEVIN,60,"0,000703103028030374",0
LAGUEPIE - TOULOUSE MATABIAU,LAGUEPIE,TOULOUSE MATABIAU,60,"0,000703103028030374",0
LEUCATE LA FRANQUI - MONTPELLIER SAINT-ROCH,LEUCATE LA FRANQUI,MONTPELLIER SAINT-ROCH,60,"0,000703103028030374",0
MONTPELLIER SAINT-ROCH - PORT LA NOUVELLE,MONTPELLIER SAINT-ROCH,PORT LA NOUVELLE,60,"0,000703103028030374",0
AGEN - MOISSAC,AGEN,MOISSAC,59,"0,000691384644229868",0
ALBIAS - TOULOUSE MATABIAU,ALBIAS,TOULOUSE MATABIAU,59,"0,000691384644229868",0
FOIX - PAMIERS,FOIX,PAMIERS,59,"0,000691384644229868",0
MOISSAC - MONTAUBAN,MOISSAC,MONTAUBAN,59,"0,000691384644229868",0
PIBRAC - TOULOUSE MATABIAU,PIBRAC,TOULOUSE MATABIAU,59,"0,000691384644229868",0
CAZ‘RES - SAINT-AGNE,CAZ‘RES,SAINT-AGNE,58,"0,000679666260429362",0
AGEN - VALENCE D'AGEN,AGEN,VALENCE D'AGEN,57,"0,000667947876628855",0
BAILLARGUES - SETE,BAILLARGUES,SETE,57,"0,000667947876628855",0
CARCASSONNE - LABEGE INNOPOLE,CARCASSONNE,LABEGE INNOPOLE,57,"0,000667947876628855",0
COLOMIERS - TOULOUSE MATABIAU,COLOMIERS,TOULOUSE MATABIAU,56,"0,000656229492828349",0
LUNEL - PERPIGNAN,LUNEL,PERPIGNAN,56,"0,000656229492828349",0
AGDE - PERPIGNAN,AGDE,PERPIGNAN,55,"0,000644511109027843",0
GENOLHAC - NIMES,GENOLHAC,NIMES,55,"0,000644511109027843",0
LUNEL - SETE,LUNEL,SETE,55,"0,000644511109027843",0
SAINT-AGNE - TOULOUSE MATABIAU,SAINT-AGNE,TOULOUSE MATABIAU,55,"0,000644511109027843",0
PORT VENDRES VILLE - TOULOUSE MATABIAU,PORT VENDRES VILLE,TOULOUSE MATABIAU,54,"0,000632792725227337",0
BRIVE LA GAILLARDE - MONTAUBAN,BRIVE LA GAILLARDE,MONTAUBAN,53,"0,00062107434142683",0
NARBONNE - RIVESALTES,NARBONNE,RIVESALTES,53,"0,00062107434142683",0
BEZIERS - FRONTIGNAN,BEZIERS,FRONTIGNAN,52,"0,000609355957626324",0
ELNE - MONTPELLIER SAINT-ROCH,ELNE,MONTPELLIER SAINT-ROCH,52,"0,000609355957626324",0
